clean,retweet_count,favorite_count,num_hashtags,num_urls,num_mentions,name,screen_name,statuses_count,followers_count,friends_count,favourites_count,listed_count,url,url_ratio,hashtag_ratio,mention_ratio,entropy,wavelet_avg,label
"@Mari_m_Rose dang si, y ese post de Mor D: queria matar a ese anon",0,0,0,0,1,Gabi,yamineftis,12987,273,116,17132,1,http://t.co/B3FkCIoZaC,0,0,0.015151515,4.006089563,-0.011676302,human
y con el eploteee q yo tengo solo espero morir! #buscandoLaLuz,0,0,1,0,0,Rafiela Morales L.,RafielaMorales,7975,398,350,11,2,,0,0.016129032,0,4.038580892,-0.04130949,bot
El retorno de las 'razas' http://t.co/plaOoh6ZZI v�a @elmundoes #EltuitdePati�o,2,1,1,1,1,JosÃ© MarÃ­a PatiÃ±o,Chemaparis,2466,3913,165,156,96,http://t.co/2F7mAXv2Rj,0.012658228,0.012658228,0.012658228,4.621377388,-0.076551473,human
"Que lindooo, voy a tener una parejita de conejos!!!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.95135794,0.013800813,bot
"Un brindis por ti. Uno por m�. Uno por tus mentiras. Uno por mis silencios. Y uno por lo que nunca nos dijimos, pero s� sentimos. #Salud",0,0,1,0,0,Rafiela Morales L.,RafielaMorales,7975,398,350,11,2,,0,0.007352941,0,4.033636593,-0.106340769,bot
La otra ni rastros dio,2,0,0,0,0,â˜¾hÎ�?nâ˜¢ â™‘,ChanooChanoo,6607,245,151,1103,2,https://t.co/QDQ5vD2Etw,0,0,0,3.174674232,0.022044118,human
"El PMI chino cae en febrero por tercer mes consecutivo: El �ndice de gerentes de compras (PMI) en China, indicador de la actividad in...",0,0,0,0,0,Echo Boehme,EchoBoehme,35,3,39,0,0,0,0,0,0,4.275384577,0.056029167,bot
Bueno me avisas pa aunq sea bebernos una cervezita :-),0,0,0,0,0,Rafiela Morales L.,RafielaMorales,7975,398,350,11,2,,0,0,0,3.929198957,0.01509221,bot
"Este gobierno no quiere aceptar sus fallos, ese es el problema... Adem�s de que est�n negociando a un pa�s sin ver consecuencias.",0,0,0,0,0,Min Lonon,MinLonon,62,5,36,0,0,0,0,0,0,4.115495354,0.004162267,bot
"@FelipeBudinich no, obvio, pero siempre es mas facil contratar a alguien que ya hace algo parecido a lo que nosotros buscamos xD",0,0,0,0,1,Deji nya~ (Â°â—¡Â°â™¡).:ï½¡,DejiNyucu,26577,2474,224,1962,77,http://t.co/xcKaoqY3zz,0,0,0.0078125,4.223896527,-0.020182459,human
"Porque le mandan feliz cumplea�os si no va a ver el tweet nunca en su vida? Que se piensan? O sea, si no yo ya le hubiera mandado mil tweets",0,0,0,0,0,Londa Ronan,LondaRonan,63,6,42,0,0,0,0,0,0,4.090826596,-0.019969514,bot
va a sobrar comida dicen..xD,0,0,0,0,0,Katelyn Arrant,KatelynArrant,42,0,38,0,0,0,0,0,0,3.807354922,0.100725018,bot
RT @GeralKaehler: a esta hora ya no hay mucho que hacer,1,0,0,0,1,â˜¾hÎ�?nâ˜¢ â™‘,ChanooChanoo,6607,245,151,1103,2,https://t.co/QDQ5vD2Etw,0,0,0.018181818,3.870567278,-0.059963678,human
"Tenemos la tormenta arriba nuestro. Solo pido que no empiece a llover ahora, voy a parecer un le�n si me mojo los pelos.",0,0,0,0,0,Frank Antrikin,FrankAntrikin,63,3,38,0,0,0,0,0,0,4.01411498,-0.018337651,bot
Madrugando toda la semana y a madrugar ma�ana sabado? Ahhh que maravilla ;),0,0,0,0,0,Marcy Montz,MarcyMontz,61,5,45,0,0,0,0,0,0,3.963612073,-0.002228191,bot
El mundo visto a trav�s de los ojos de un ni�o peque�o se parece mucho al para�so.,0,0,0,0,0,Nichole Noviello,NicholeNoviello,63,3,44,0,0,0,0,0,0,4.077371554,-0.041198272,bot
RT @Monochroma_Keys: Tu tan emulador de Link's Awakening y yo tan Master quest,1,0,0,0,1,Vâˆ†N,Kuiggert,11525,239,431,756,3,http://t.co/1wVeQaMOMy,0,0,0.012820513,4.446643527,-0.089499693,human
"Hay que meter el segundo gol, vamos @realmadrid!",0,0,0,0,1,AnÎ± ,annaveiro_,46114,877,655,6643,5,http://t.co/8RsOkfnMko,0,0,0.020833333,4.065468814,0.042145787,human
RT @aquilescorrea1: Sabes que no te fallo.... RT @robsantaella: @aquilescorrea1 Correa tr�eme un libro que quiero de all�,2,0,0,0,3,Lynnette Perham,LynnettePerham,77,10,45,0,0,0,0,0,0.024793388,4.20207682,-0.066655307,bot
RT @mymermaidboy: @beezjm Graciaaaas!!!,1,0,0,0,2,"ash,,!",beezjm,67418,16186,5242,22044,243,0,0,0,0.051282051,4.060416642,-0.068769891,human
RT @turtlestudio: El principio de incertidumbre de tu madre con una zapatilla en la mano. #ciencia,1,0,1,0,1,Akira Sanz,akiraoltar,17282,242,139,466,16,http://t.co/DhOnHqZNAf,0,0.010204082,0.010204082,4.106016775,-0.001861465,human
JAJAJAJAJAJA me atacas a mi Ale? me parece que te pusiste celoso del marrr jajaja no piress,0,0,0,0,0,Albertine Sasson,AlbertineSasson,45,2,33,0,0,0,0,0,0,3.91276211,-0.093896524,bot
Hoy me toca seguir jugando el "Juego de la Ventana" D:,0,0,0,0,0,Gwyn Brandler,GwynBrandler,60,5,37,0,0,0,0,0,0,4.077047522,-0.028073223,bot
Perdoname madre por mi VISA vuota. :(,0,2,0,0,0,Federico Mandi,FedericoMandi,113,0,0,0,0,,0,0,0,4.093663838,-0.038539933,bot
@sapir_TA @p_lanzani Como hace para ser asi hermoso este chico,0,0,0,0,2,Marco,PeterLaliOK,9053,243,965,272,0,,0,0,0.032258065,3.998157707,-0.001612737,bot
No busques a alguien que resuelva todos tus problemas. Busca a alguien que no va a dejar que los enfrentes solo.,0,0,0,0,0,Rena Diwan,RenaDiwan,65,11,41,0,0,0,0,0,0,3.96738685,-0.026227306,bot
RT @antoniofraguas: Lo suyo del bogavante es bogar hacia adelante.,6,0,0,0,1,JosÃ© MarÃ­a PatiÃ±o,Chemaparis,2466,3913,165,156,96,http://t.co/2F7mAXv2Rj,0,0,0.015151515,4.178747393,-0.02163845,human
que duele mas que el amor. �JAJAJ�!,0,0,0,0,0,Cuc Forte,CucForte,43,3,29,0,0,0,0,0,0,3.797020432,-0.061805755,bot
RT @GruberDeLaCampa: Auque perdimos gran juego so proud #HaIaMadrid lo dieron todo ,5,0,2,0,2,AnÎ± ,annaveiro_,46114,877,655,6643,5,http://t.co/8RsOkfnMko,0,0.024096386,0.024096386,4.369479378,-0.045445332,human
"Irina va a ver a Dar�o, le dice que lo echa de menos, y le pide que si le da trabajo a Flavio. Y Leonardo va a ver a Sof�a. #TierraDeReyes",0,0,1,0,0,AnÎ± ,annaveiro_,46114,877,655,6643,5,http://t.co/8RsOkfnMko,0,0.007246377,0,4.137300356,0.045868405,human
"RT @IsiAngeath: �ltima vez que expongo mis acuarelas, as� que aprovechad para verlas en @granadagaming. http://t.co/LddlC4ZeSj",5,0,0,0,2,Akira Sanz,akiraoltar,17282,242,139,466,16,http://t.co/DhOnHqZNAf,0,0,0.015873016,4.715347176,-0.024774678,human
@OneDi1234566 me sonri� igual que lo hace en el vine jajaja,0,1,0,0,1,Kat,KatiaKatxx,3176,1625,1054,8125,4,http://t.co/mNz1YeOiZl,0,0,0.016949153,4.255690831,-0.064108979,human
"Al mio 7, SAMBA",0,0,0,0,0,Otello Gambiola,OtelloGambiola,151,237,323,0,2,,0,0,0,3.272905595,0.022737345,bot
RT @Cardaje: Miro el infinito y digo: ''Mi vida podr�a llegar justo hasta all�''.,299,0,0,0,1,â˜¾hÎ�?nâ˜¢ â™‘,ChanooChanoo,6607,245,151,1103,2,https://t.co/QDQ5vD2Etw,0,0,0.012345679,4.333846833,-0.089949153,human
RT @realmadrid: 2-0: �Campeones del mundo! http://t.co/aJ9yBb7u2a #HalaMadrid http://t.co/AuA3mbklJ0,4965,0,1,1,1,â€  RÃ˜NÃŠÃ˜ Å ANTÃ˜Å  â€ ,Adrianaldo_,8102,241,273,1067,0,0,0.01,0.01,0.01,4.955916315,-0.066853863,human
"A veces en la vida hay que tomar decisiones,aveces esas decisiones rompen corazones pero tienes que pensar en ti primero y no en los otros.",1,0,0,0,0,Belinda Ogan,BelindaOgan,46,9,40,0,0,0,0,0,0,3.892346712,-0.005114221,bot
RT @TomasFolmer: Falta poco para el Sabadoo,1,0,0,0,1,â˜¾hÎ�?nâ˜¢ â™‘,ChanooChanoo,6607,245,151,1103,2,https://t.co/QDQ5vD2Etw,0,0,0.023255814,3.858220058,-0.049658278,human
"Ya imagino la cara que tra�a, lol.",0,1,0,0,0,Krysta Donati,KrystaDonati,64,4,36,0,0,0,0,0,0,3.736987931,-0.052444954,bot
RT @realmadrid: V�DEO- �Toda la plantilla convocada para el partido contra el Atl�tico! �VAMOS! http://t.co/KYiVnkLr9V #HalaMadrid http://t�,890,0,1,1,1,AnÎ± ,annaveiro_,46114,877,655,6643,5,http://t.co/8RsOkfnMko,0.007142857,0.007142857,0.007142857,4.715073327,-0.047019229,human
RT @AleDavidSM: Maldita distancia.... http://t.co/mUjwdyIEEC,16413,0,0,0,1,Paulina Benitez,VanessaBeniteez,18462,1060,557,2500,2,http://t.co/JnX6hMGM6E,0,0,0.016666667,4.68049378,-0.06273393,human
La invasi�n de los parados - El blog de Jos� Mar�a Pati�o http://t.co/zvndfKilTc v�a @chemaparis,0,0,0,1,1,JosÃ© MarÃ­a PatiÃ±o,Chemaparis,2466,3913,165,156,96,http://t.co/2F7mAXv2Rj,0.010416667,0,0.010416667,4.641884185,-0.073657242,human
@stefanysolanch @JhonatanR25 pol favol sabemos de todo menos de eso. Lo necesitamos para seguir ganando,0,0,0,0,1,Rafiela Morales L.,RafielaMorales,7975,398,350,11,2,,0,0,0.009708738,4.191891869,-0.010009771,bot
"RT @Telemundo: Los romanos fallan en matar a Juan, despu�s del intento frustrado lo exilian en una isla en Grecia.   #LaBiblia",12,0,1,0,1,AnÎ± ,annaveiro_,46114,877,655,6643,5,http://t.co/8RsOkfnMko,0,0.007936508,0.007936508,4.18783226,0.007087525,human
Estoy aburrida y empiezo a tirar frases jajaj,0,0,0,0,0,Tamara Buff,TamaraBuff,53,2,38,0,2,0,0,0,0,3.804471777,-0.022997501,bot
Ma�ana no me levanto hasta las 3 jajajajaja,0,2,0,0,0,ã€ŽPleasure and painã€�?,AngelBiedma,6747,592,254,7636,3,http://t.co/s1SZws5B9A,0,0,0,3.355670279,-0.081453131,human
RT @a_rivera17: Puto albitro mierda,3,0,0,0,1,Cristian,CristianGutierz,2208,455,393,10609,1,0,0,0,0.028571429,4.136286231,-0.090337402,human
V�ctimas de la Guardia Nacional y sus familiares recibieron con gritos a Gen Vides http://t.co/POvZjEiBFu http://t.co/Wq6BvlaPF5 @PattyBlum,0,1,0,1,1,Nina Lakhani,ninalakhani,3647,1829,869,116,98,0,0.007194245,0,0.007194245,4.800379809,-0.017916478,human
"RT @Telemundo: ""No temas, aunque seas est�ril Dios te dar� un hijo"" #NowWatching #LaBiblia",15,0,2,0,1,AnÎ± ,annaveiro_,46114,877,655,6643,5,http://t.co/8RsOkfnMko,0,0.022222222,0.011111111,4.593046111,-0.048351992,human
RT @yisucrist: kiko rivera en el psic�logo http://t.co/Eku3mYJUUJ,6191,0,0,0,1,ã€ŽPleasure and painã€�?,AngelBiedma,6747,592,254,7636,3,http://t.co/s1SZws5B9A,0,0,0.015384615,4.671745506,-0.044054116,human
No lo entiendo.,0,0,0,0,0,Kat,KatiaKatxx,3176,1625,1054,8125,4,http://t.co/mNz1YeOiZl,0,0,0,3.189898095,-0.178843168,human
!ORALE HIJOS DE SU PUTA MADRE! Ya es hora que suban la foto de lo que van a toma y que se van a poner hasta el culo.,0,0,0,0,0,Mandie Brunette,MandieBrunette,63,2,40,0,1,0,0,0,0,4.420770777,0.046034335,bot
"""@baroso94: Hay 3 momentos que no se pueden disimular: estar borracho , enamorado y celoso.",0,1,0,0,1,Kat,KatiaKatxx,3176,1625,1054,8125,4,http://t.co/mNz1YeOiZl,0,0,0.010989011,4.249140506,-0.094631757,human
Pulando de Bungy: http://tinyurl.com/4lvnd9,0,0,0,0,0,Diogo Freire,ditorelo,1913,300,193,54,8,http://t.co/qNt9xshDfg,0,0,0,4.437210685,-0.038977714,human
RT @marcksantana: Por que la gente. Chopa siempre cree que siempre hablan de ella y siemprr andan tirando #why,1,0,1,0,1,Rafiela Morales L.,RafielaMorales,7975,398,350,11,2,,0,0.009090909,0.009090909,4.264496524,-0.042166525,bot
"RT @PalomaACastillo: SE VENDE: Toyota Corola S, plateado, 2004, en s�per buenas condiciones, 2 juegos de xen�n multilock, Info here. RT  ...",6,0,0,0,1,Rafiela Morales L.,RafielaMorales,7975,398,350,11,2,,0,0,0.007142857,4.776440864,-0.021814053,bot
#NowPlaying la canci�n Tokyo de Gruppo Sportivo en #Spotify  http://t.co/rzOBJllN5i,0,0,2,1,0,JosÃ© MarÃ­a PatiÃ±o,Chemaparis,2466,3913,165,156,96,http://t.co/2F7mAXv2Rj,0.012048193,0.024096386,0,4.690429312,0.021014709,human
RT @meryoller: Bueno aqu� dejo a mi ratica q no me deja irme...pero me tengo q ir...vamoss para fanfarron�:)) http://t.co/ObnkRL0ksM,18,0,0,0,1,ã€ŽPleasure and painã€�?,AngelBiedma,6747,592,254,7636,3,http://t.co/s1SZws5B9A,0,0,0.007575758,4.648462702,-0.061341256,human
Te necesito en mi vida. http://t.co/akCUnUTQsv,0,0,0,0,0,Isa,whatisasays,12413,960,513,1258,6,http://t.co/QZofenSIfc,0,0,0,4.265424935,-0.069304358,human
@RAHER95 todos aqu� can sobraos de ingenio jjjjj,0,0,0,0,1,â€  RÃ˜NÃŠÃ˜ Å ANTÃ˜Å  â€ ,Adrianaldo_,8102,241,273,1067,0,0,0,0,0.020833333,4.227974419,-0.014733326,human
"Cuando le ped� a el cielo que me alcance un Angel, me acerco a ti.",0,0,0,0,0,Stasia Ritchko,StasiaRitchko,106,4,76,0,0,0,0,0,0,3.790438349,-0.047970717,bot
RT @perfilcom: El huevo de la vida http://t.co/hl6WDsWoxW http://t.co/OIPrcexO0g,6,0,0,1,1,0,0,0,0,0,0,0,0,0.0125,0,0.0125,4.710754933,-0.060315897,bot
Vamos a donar todos nuestro granito de arena por estos seres tan fuertes y llenos de tanto amor. #CreoEnTi #TeletonColombia,0,0,2,0,0,Daniel Norrid,DanielNorrid,46,3,40,0,0,0,0,0.016260163,0,3.948481546,0.000577922,bot
Boludo a todo esto....... 4 PUTOS DIAS DE VACACIONES. Que mierda,0,0,0,0,0,Julianna Peveler,JuliannaPeveler,63,8,46,0,1,0,0,0,0,4.377367634,-0.01269547,bot
B�rlate de alguien cuando seas perfecto.,0,0,0,0,0,Enrique Kates,eckates,11405,819,2000,0,19,http://t.co/gAa6cVM0Fe,0,0,0,3.993942708,-0.000692239,bot
Pues queda una semanita;)@lhamenda,1,0,0,0,1,ã€ŽPleasure and painã€�?,AngelBiedma,6747,592,254,7636,3,http://t.co/s1SZws5B9A,0,0,0.029411765,3.799979385,0.107554121,human
Esperando ver a Alexis y Fido en vi�a del mar..... Lol,0,0,0,0,0,Avis Butac,AvisButac,62,7,38,0,0,0,0,0,0,4.010202328,0.021363196,bot
Que agusto que se esta toa la tarde sin hacer na.,0,4,0,0,0,ã€ŽPleasure and painã€�?,AngelBiedma,6747,592,254,7636,3,http://t.co/s1SZws5B9A,0,0,0,3.673170499,0.010951777,human
flaca enterate que a ninguno de los 1000 mg que tenes en tus fotos les interesa tus sentimientos le interesa tu orto.,0,0,0,0,0,Eustolia Hilty,EustoliaHilty,43,2,34,0,0,0,0,0,0,3.774474048,-0.016134965,bot
Cambio en Argentina:Se va: C. T�vez.Entra: J. Pastore.,0,0,0,0,0,AnÎ± ,annaveiro_,46114,877,655,6643,5,http://t.co/8RsOkfnMko,0,0,0,4.252379578,-0.021511506,human
"Nos gusta emprender en todo. Hasta en imprimir y dise�ar nuestros folletos, made in 100% lpad!!!",0,0,0,0,0,Luis Lamprey,LuisLamprey,64,5,48,0,0,0,0,0,0,4.23062169,0.067046644,bot
se que me prefieres a mi,0,0,0,0,0,Keri Guarnera,KeriGuarnera,69,4,35,0,0,0,0,0,0,3.121653522,-0.146236841,bot
ay te aviso y te anuncio que hoy renuncio...a tus negocios sucios??,0,0,0,0,0,Letitia Bizzell,LetitiaBizzell,38,3,38,0,0,0,0,0,0,3.85686386,-0.02400695,bot
"Agradezco igual de no haber ido hoy, han estado poquito rato cada artistas, eso es lo mala de que pacieran a 5.",0,0,0,0,0,Thora Cooney,ThoraCooney,40,9,39,0,0,0,0,0,0,4.034835639,0.003224139,bot
